ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YLDUN,YLDIN,PL_STUN,PL_STIN,DY_SKUN,DY_SKIN,PL_HTUN,PL_HTIN,E_HTUN,E_HTIN,ASI_IN,ASI_UN,DY_TASSIN,DY_TASSUN,E_ASPIN,E_ASPUN,E_HARVIN,E_HARVUN,E_ROTIN,E_ROTUN,ELDIN,HUSKUN,HUSKIN,INSTINF,INSTUN,P_ASPIN,P_ASPUN,P_HARVIN,P_HARVUN,R_LIN,R_LUN,RLPER,RUSTIN,RUSTUN,S_LIN,S_LUN,SLPER,STR_CO1,STR_CO2,STR_CO3,STR_RAT1,STR_RAT2,STREAK,BLTIN_M,BLTUN_M,CURVIN,CURVUN,STR_CO3_IN,STR_CO3_UN,STR_RA1_IN,STR_RA1_UN,STR_RA2_IN,STR_RA2_UN,STR_CO1_IN,STR_CO1_UN,STR_CO2_IN,STR_CO2_UN,POLSHEDIN,POLSHEDUN,HMIN,HMUN
38,Striga Hybrid Maize Trial (White/Yellow),K923AB,6,913-7 STR,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,4655,95,,,63.33,65.67,196.67,166.67,93.33,63.33,,,,,,2.67,11.67,21.33,4.80,2.33,,2.67,2.00,2.00,2.00,3.67,2.33,5.55,,,,,,,,,,36.00,48.33,,4.67,,,,,2.00,2.00,,,,,,,,,,,,,,
39,Striga Hybrid Maize Trial (White/Yellow),K923AB,7,925-8 STR,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,2328,453,,,61.67,65.33,2.00,153.33,11.00,6.00,,,,,,3.00,1.67,12.67,4.00,2.67,,2.00,2.67,2.00,2.00,4.00,2.33,9.00,,,,,,,,,,33.33,67.00,,4.33,,,,,2.33,2.67,,,,,,,,,,,,,,
40,Striga Hybrid Maize Trial (White/Yellow),K923AB,8,8329-15,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,4785,628,,,59.67,65.67,26.67,13.00,93.33,48.30,,,,,,2.33,8.33,24.67,3.80,3.00,,2.00,2.90,2.00,2.00,4.65,3.00,8.50,,,,,,,,,,32.33,68.67,,5.67,,,,,2.33,2.00,,,,,,,,,,,,,,
41,Striga Hybrid Maize Trial (White/Yellow),K923AB,9,8535-23,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,6466,970,,,62.00,67.33,23.00,136.67,12.00,56.67,,,,,,2.33,9.33,25.67,3.58,2.33,,2.00,2.67,2.00,2.00,5.00,2.00,5.67,,,,,,,,,,41.33,48.67,,5.33,,,,,2.67,2.00,,,,,,,,,,,,,,
42,Striga Hybrid Maize Trial (White/Yellow),K923AB,1,8338-1 (SUSCEPTIBLE),NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,6854,863,,,59.67,64.67,23.00,14.00,93.33,57.43,,,,,,2.00,2.33,25.00,3.40,2.33,,2.00,4.70,2.00,2.00,5.67,2.33,3.67,,,,,,,,,,86.33,67.00,,8.33,,,,,2.33,2.00,,,,,,,,,,,,,,
43,Striga Hybrid Maize Trial (White/Yellow),K923AB,11,CHECK 1,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,5496,1293,,,64.67,65.00,186.67,163.33,9.00,49.67,,,,,,1.67,1.67,27.33,3.00,2.00,,2.00,2.00,2.00,2.00,3.33,2.00,9.00,,,,,,,,,,44.33,61.00,,4.00,,,,,2.33,2.33,,,,,,,,,,,,,,
44,Striga Hybrid Maize Trial (White/Yellow),K923AB,12,CHECK 2,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,5431,35,,,63.33,66.58,223.33,13.00,13.33,73.83,,,,,,2.67,3.33,23.00,5.80,2.33,,2.00,2.85,2.00,2.00,5.65,2.67,4.00,,,,,,,,,,49.00,59.67,,7.33,,,,,2.33,2.33,,,,,,,,,,,,,,
45,Striga Hybrid Maize Trial (White/Yellow),K923BG,1,921-18,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,2.00,2.00,59.67,59.00,22.00,22.00,13.33,95.00,,,,,,1.33,2.33,19.33,,,,2.33,2.67,,,1.67,1.33,2.00,,2.67,2.67,,,,2.00,2.33,,,138.00,,1.67,2.33,,,,,,,,,,,,,,,,,,,
46,Striga Hybrid Maize Trial (White/Yellow),K923BG,2,922-13 STR,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,2.33,19.00,59.00,59.33,22.00,21.00,113.33,15.00,,,,,,2.33,2.00,19.67,,,,3.00,3.00,,,1.67,1.33,18.67,,2.00,2.00,,,,2.33,2.33,,,15.00,,2.00,3.33,,,,,,,,,,,,,,,,,,,
47,Striga Hybrid Maize Trial (White/Yellow),K923BG,3,944-31 STR,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,18.33,21.33,59.00,61.67,211.67,185.00,115.00,16.67,,,,,,2.00,14.00,18.33,,,,3.00,3.00,,,3.00,1.67,2.67,,2.33,2.33,,,,3.00,2.67,,,119.00,,4.33,4.33,,,,,,,,,,,,,,,,,,,
48,Striga Hybrid Maize Trial (White/Yellow),K923BG,4,944-27 STR,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,15.00,2.33,58.00,59.33,26.67,185.00,18.33,96.67,,,,,,1.67,15.33,15.00,,,,3.00,3.00,,,3.67,2.00,19.00,,2.33,3.00,,,,2.67,2.67,,,124.67,,3.33,3.33,,,,,,,,,,,,,,,,,,,
49,Striga Hybrid Maize Trial (White/Yellow),K923BG,5,913-5 STR,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,21.00,22.00,57.00,58.00,211.67,26.67,11.67,93.33,,,,,,2.33,19.00,21.33,,,,3.00,3.00,,,3.33,2.00,21.67,,3.00,2.67,,,,3.00,2.67,,,11.67,,2.33,5.33,,,,,,,,,,,,,,,,,,,
50,Striga Hybrid Maize Trial (White/Yellow),K923BG,6,913-7 STR,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,2.00,21.67,58.67,6.00,226.67,26.67,11.00,13.33,,,,,,2.67,17.33,2.67,,,,3.00,3.00,,,2.33,1.67,2.33,,2.33,2.33,,,,3.33,2.33,,,95.67,,3.67,5.67,,,,,,,,,,,,,,,,,,,
