ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,BLIGHT,BORER,BORER1,BORER2,BORER3,BORER4,CURV,DY_POLL,DY_SK,E_ASP,E_HARV,E_HT,E_ROT,ELDANA,GR_MAIZE,HELM,HUSK,INST,MUSSIDIA,STREAK,NITR_RAT,P_ASP,P_HARV,PL_HT,RL,RL_RAT,RLPER,RUST,SESAMIA,SL,SL_RAT,SLPER,E_DAM_RAT,COB_DAM_CO,MOIST,ASI,EAR_DAM_RAT,EAR_DAM_CO,LEAF_FEED,COB_DAM_RT,DEAD_HEART,SB_DAM_RAT,BORER_DM_RAT,EASPIN,EHARVIN,EHTIN,FWTIN,FWTUN,HUSKIN,LEAFFEED,LFEED2,PASPIN,PHARVIN,PLHTIN,PLST,PLSTIN,RLIN,SBDAMRAT,SLIN,STEMTUNNEL,YIELDIN1,YIELDIN2,YIELDUN2,DYSKIN,EARDAMIN,EROTIN,MOISTIN
237,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,2,TZBR ELD3-C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,4999.6,,,,,,,,,59,2.3,26,113,,,,,4.5,,,,,2.3,26,199,1.3,,,,,0.3,,,,,,,0.5,,,,2.0,,,3.5,22,94,4.1,5.8,5.0,4.8,5.3,5.5,24,177,26,26,2.5,,1.0,,3415,2958,4454,61,1.8,,
238,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,3,TZBR ELD3-C3,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,4772.7,,,,,,,,,57,2.0,25,113,,,,,5.5,,,,,2.8,25,201,3.0,,,,,1.8,,,,,,,0.5,,,,1.0,,,2.5,23,92,5.1,5.6,6.0,4.8,5.0,3.8,24,179,26,26,2.5,,1.5,,4308,3719,4269,57,2.8,,
239,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,4,TZBR SYN-W C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,3897.6,,,,,,,,,59,2.3,23,108,,,,,4.5,,,,,3.0,25,203,2.8,,,,,1.5,,,,,,,0.5,,,,0.3,,,2.5,24,100,5.0,4.6,5.5,2.8,3.3,4.3,23,187,25,25,2.5,,0.3,,4317,3806,3644,58,1.8,,
240,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,5,TZBR SYN-Y C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,4393.1,,,,,,,,,59,2.0,25,114,,,,,4.8,,,,,3.0,25,189,2.0,,,,,2.8,,,,,,,2.0,,,,2.3,,,2.8,22,118,4.3,5.2,5.3,4.5,4.8,5.5,23,166,26,26,1.8,,0.8,,3808,3206,3772,57,2.5,,
241,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,6,AMA TZBR-W C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,4594.0,,,,,,,,,58,2.0,25,104,,,,,4.5,,,,,2.5,26,182,2.0,,,,,2.3,,,,,,,1.0,,,,1.5,,,3.5,23,95,4.4,5.3,6.0,3.8,4.5,5.3,24,169,26,26,2.0,,1.5,,3782,3186,4054,58,3.8,,
242,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,7,ICZ5 BC2A (9450),NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,3692.2,,,,,,,,,59,2.3,24,97,,,,,4.8,,,,,3.0,25,185,0.5,,,,,1.8,,,,,,,2.3,,,,1.5,,,3.3,23,85,3.8,4.3,5.0,4.3,5.0,5.5,24,161,26,26,1.0,,0.3,,3207,2661,3139,58,2.8,,
243,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,8,ICZ5 BC2B (KU1414SR/SR),NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,3551.6,,,,,,,,,56,3.0,23,94,,,,,4.5,,,,,3.8,25,185,1.8,,,,,1.3,,,,,,,3.0,,,,1.3,,,4.3,21,84,3.3,4.1,5.0,3.3,4.0,5.8,23,165,26,26,5.8,,1.0,,2871,2408,3017,56,4.5,,
244,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,9,TZBR Ses1-C3-W,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,3667.7,,,,,,,,,58,2.3,20,103,,,,,4.0,,,,,2.8,25,183,1.3,,,,,1.5,,,,,,,1.0,,,,0.5,,,2.8,22,98,4.3,4.2,5.0,2.3,2.8,5.3,24,178,26,26,4.5,,0.5,,3717,3491,3256,58,2.5,,
245,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,10,TZBR Ses1-C3-Y,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,4411.0,,,,,,,,,59,2.3,23,115,,,,,4.5,,,,,2.5,25,190,0.3,,,,,2.5,,,,,,,2.0,,,,0.8,,,2.8,22,98,4.5,5.0,5.0,3.5,4.3,4.3,25,169,26,26,2.3,,1.5,,3880,3323,3690,58,3.3,,
246,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,11,TZBR Ses3-C4-Y,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,3924.3,,,,,,,,,58,2.5,23,107,,,,,4.5,,,,,3.8,25,179,3.0,,,,,3.5,,,,,,,1.8,,,,1.3,,,3.8,23,101,4.8,4.6,5.0,3.8,4.0,4.5,24,182,26,26,2.3,,0.5,,4211,3411,3439,56,6.5,,
